ID,Gender,Age,Teaching_Experience,Highest_Qualification,Received_Trained_IE,Trained_ABM
1,Male,32,4,Diploma,yes,yes
2,Male,40,10,PGDE,yes,yes
3,Female,25,2,Bachelor Degree,yes,yes
4,Male,37,15,Bachelor Degree,yes,yes
5,Male,24,1,Bachelor Degree,es,yes
6,Male,28,3,Bachelor Degree,yes,yes
7,Male,45,12,Bachelor Degree,yes,yes
8,Male,32,8,Diploma,yes,yes
9,Female,21,1,Diploma,yes,yes
10,Male,28,2,Bachelor Degree,yes,yes
11,Female,30,3,Bachelor Degree,yes,yes
12,Male,22,1,Diploma,yes,yes
13,Female,26,2,Bachelor Degree,yes,yes
14,Male,32,5,Bachelor Degree,yes,yes
15,Male,23,1,Bachelor Degree,yes,yes
16,Male,25,1,Bachelor Degree,yes,yes
17,Female,45,20,Bachelor Degree,yes,yes
18,Female,53,30,Bachelor Degree,yes,yes
19,Male,41,15,Bachelor Degree,yes,yes
20,Female,36,12,Bachelor Degree,yes,yes
21,Female,50,28,Master Degree,yes,yes
22,Female,45,22,Master Degree,yes,yes
23,Female,35,10,PGDE,yes,yes
24,Female,30,8,Diploma,yes,yes
25,Female,30,7,Diploma,Yes,Yes
26,Male,35,9,Bachelor Degree,Yes,Yes
27, Female,32,6,Bachelor Degree,Yes,Yes
28,Male,48,10,Master,Yes,Yes
